name,category,review_count,address,rate
바람부리명태찜 정왕점,한식,34,경기 시흥시 다솜마을2길 4 1층 바람부리명태찜,4.44
호수꼬치 정왕점,일식,32,경기 시흥시 마유로 416 월드프라자 1층 110호,4.45
춘천본가닭갈비,한식,32,경기 시흥시 마유로 416 월드프라자,4.63
뿔난황소,한식,31,경기 시흥시 오동마을로6번안길 14 1층,
싱싱마구잡이,일식,31,경기 시흥시 중심상가2길 20-5,4.89
올리바바양꼬치 정왕점,중식,29,경기 시흥시 오동마을로 16 101호,3.92
동궁찜닭 정왕점,한식,29,경기 시흥시 마유로418번길 10 1층 120호,4.51
카페그리닝 정왕점,디저트,28,경기 시흥시 역전로302번길 14 1층,4.39
열정국밥 정왕점,한식,28,경기 시흥시 봉우재로69번길 24,
더드림한식,한식,27,경기 시흥시 마유로418번길 24,
고기바우참숯구이,한식,26,경기 시흥시 오동마을로6번길 21 104호 고기바우참숯구이,
호남집,한식,25,경기 시흥시 오동마을로6번안길 7 1층 호남집,4.17
요녀석 시흥정왕점,양식,25,경기 시흥시 중심상가로 193 203호,4.55
바비큐보스치킨 정왕1호점,한식,24,경기 시흥시 오동마을로6번길 10-1,5
용커피,디저트,24,경기 시흥시 봉우재로209번길 17-1,4.75
유명냉면,한식,22,경기 시흥시 오동마을로 19-1 1층 일부호,
커리파라다이스레스토랑,한식,22,경기 시흥시 중심상가2길 22 2층 201호,
실버카페다정 정왕역점,디저트,22,경기 시흥시 정왕동 2325-11,4.43
46도무인카페 2호점,디저트,21,경기 시흥시 오동마을로5번길 30 101호,
정왕동 뽀글이,한식,21,경기 시흥시 오동마을로5번길 29-1,4.14
철판춘천닭갈비,한식,20,경기 시흥시 중심상가4길 30 102호,
달매떡볶이 정왕점,한식,20,경기 시흥시 마유로418번길 10 1층,5
청솔횟집,일식,20,경기 시흥시 정왕동,
박가네손만두식품,중식,19,경기 시흥시 봉우순환로3번길 15,4.59
닥엔돈스 시흥정왕점,한식,18,경기 시흥시 역전로290번길 13 1층,4.5
타이코랏 중앙점,한식,18,경기 시흥시 중심상가로 193 3층,3.67
산내들,한식,17,경기 시흥시 오동마을로6번길 5 1,
홍희통닭 정왕역점,한식,17,경기 시흥시 마유로423번길 12-1,4.56
몽땅생고기 무한삼겹 정왕역점,한식,16,경기 시흥시 마유로418번길 12 중앙프라자,
나나디저트&커피,디저트,16,경기 시흥시 역전로 161 1층 나나디저트&커피,
로뎀나무 수제돈까스 한식뷔페,한식,15,경기 시흥시 오동마을로 23,
푸짐한밥상,한식,15,경기 시흥시 마유로446번길 12,4.67
빠네뜨과자점,한식,14,경기 시흥시 정왕동,5
공가네동태탕,한식,13,경기 시흥시 오동마을로6번길 7 .1층,
홍명숙 황해닭강정 시흥점,한식,13,경기 시흥시 다솜마을2길 4,
담양석갈비,한식,13,경기 시흥시 역전로290번길 13 1층 일부호,4.8
카페포유,디저트,13,경기 시흥시 정왕동,
육회와연어,일식,12,경기 시흥시 오동마을로6번길 17,5
냉면쟁이 고기꾼,한식,12,경기 시흥시 봉우재로69번길 24,4.71
더츠커피 정왕역점,디저트,11,경기 시흥시 마유로418번길 10,5
기찬고기 정왕점,한식,11,경기 시흥시 중심상가2길 20-13 KT공영주차장,
토리만쥬 정왕역점,디저트,10,경기 시흥시 마유로418번길 15,
도원짬뽕,중식,10,경기 시흥시 오동마을로 27 1층,
